round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score,cum_views,cum_likes
30,14,1,0.448982,0.015625,0.141887,0.087476,0.792734,0.124456,0.074119,0.195471,7.9,6.4
30,15,1,0.251850,0.015625,0.107531,0.055274,0.260060,0.028265,0.071659,0.088791,3.1,2.0
30,16,1,0.071009,0.015625,0.113595,0.055506,0.292365,0.037770,0.077447,0.097575,2.3,0.7
30,17,1,0.225512,0.015625,0.119821,0.066402,0.457565,0.066696,0.076298,0.129517,3.4,2.4
30,18,1,0.023145,0.015625,0.109750,0.051507,0.257337,0.022909,0.079356,0.089276,3.1,0.6
30,19,1,0.378901,0.015625,0.128940,0.076064,0.715439,0.093568,0.076849,0.176017,5.3,4.1
30,20,2,0.154859,0.015625,0.113503,0.059548,0.290543,0.045736,0.112386,0.107926,3.5,1.9
30,21,2,0.496025,0.015625,0.187714,0.133467,0.817164,0.210769,0.105039,0.233800,19.4,16.4
30,22,2,0.753268,0.015625,0.135810,0.091507,0.905462,0.123170,0.056707,0.207840,5.8,5.4
30,23,2,0.075313,0.015625,0.116905,0.054116,0.374664,0.039796,0.056907,0.105576,3.2,0.8
30,24,2,0.346724,0.015625,0.113451,0.064729,0.720965,0.057952,0.109883,0.175828,4.6,3.6
30,25,2,0.118530,0.015625,0.115789,0.052943,0.369528,0.035652,0.109838,0.117204,2.1,0.6
30,26,2,0.401554,0.015625,0.122429,0.072621,0.673463,0.082667,0.115062,0.176116,7.7,6.3
30,27,2,0.428317,0.015625,0.135998,0.083372,0.766527,0.111680,0.117778,0.199073,6.7,5.9
30,28,2,0.226272,0.015625,0.119497,0.059521,0.433724,0.054070,0.077330,0.123138,3.1,1.7
30,29,2,0.109343,0.015625,0.114486,0.054719,0.304987,0.037349,0.024078,0.085965,2.7,1.0
30,30,3,0.108891,0.015625,0.104907,0.054711,0.269100,0.022571,0.032863,0.079032,1.9,0.7
30,31,3,0.559639,0.015625,0.123664,0.075804,0.860210,0.090047,0.047589,0.189435,5.4,4.7
30,32,3,0.161426,0.015625,0.105940,0.052117,0.334960,0.016895,0.037489,0.089196,1.7,0.6
30,33,3,0.041007,0.015625,0.113732,0.051302,0.272387,0.029859,0.059082,0.088066,2.8,0.5
30,34,3,0.306667,0.015625,0.110120,0.057817,0.588450,0.039316,0.068562,0.140738,3.9,2.3
30,35,3,0.482934,0.015625,0.151440,0.102302,0.842324,0.151000,0.063713,0.208094,11.1,9.8
30,36,3,0.444939,0.015625,0.125600,0.073821,0.686537,0.087089,0.048569,0.162628,4.7,3.7
30,37,3,0.300442,0.015625,0.110846,0.058727,0.392836,0.040566,0.047735,0.105947,3.2,2.0
30,38,3,0.255183,0.015625,0.115803,0.060212,0.607111,0.051775,0.053900,0.142976,3.3,2.0
30,39,3,0.542584,0.015625,0.184651,0.135322,0.869394,0.211639,0.069106,0.232668,19.0,16.5
30,40,4,0.357393,0.015625,0.116089,0.065922,0.545394,0.059855,0.081755,0.142687,4.9,4.1
30,41,4,0.440077,0.015625,0.123290,0.075055,0.789194,0.086130,0.081042,0.186257,7.1,6.4
30,42,4,0.374670,0.015625,0.121364,0.068603,0.768240,0.071393,0.063496,0.175130,3.9,2.9
30,43,4,0.072453,0.015625,0.105092,0.052277,0.159335,0.016722,0.093616,0.076361,1.5,0.6
30,44,4,0.146514,0.015625,0.108837,0.053756,0.431958,0.026134,0.067609,0.113739,2.2,0.7
30,45,4,0.031405,0.015625,0.116093,0.053301,0.234324,0.036639,0.052185,0.082168,3.2,0.7
30,46,4,0.216687,0.015625,0.110571,0.054106,0.439779,0.030294,0.060606,0.114104,3.4,1.3
30,47,4,0.446234,0.015625,0.134576,0.084844,0.799558,0.112790,0.064283,0.190784,7.1,6.3
30,48,4,0.301519,0.015625,0.106088,0.056554,0.279420,0.026777,0.082171,0.094167,1.9,1.4
30,49,4,0.532519,0.015625,0.160706,0.118958,0.859138,0.177834,0.081131,0.223008,17.2,15.7
40,0,0,0.139619,0.003906,0.114665,0.055185,0.409753,0.039341,0.083227,0.116176,3.4,1.2
