round,query,prec10
251,car,1.0
252,cat,1.0
252,dog,1.0
252,plane,1.0
252,clothes,1.0
252,car,1.0
253,cat,1.0
253,dog,1.0
253,plane,1.0
253,clothes,1.0
253,car,1.0
254,cat,1.0
254,dog,1.0
254,plane,1.0
254,clothes,1.0
254,car,1.0
255,cat,1.0
255,dog,1.0
255,plane,1.0
255,clothes,1.0
255,car,1.0
256,cat,1.0
256,dog,1.0
256,plane,1.0
256,clothes,1.0
256,car,1.0
257,cat,1.0
257,dog,1.0
257,plane,1.0
257,clothes,1.0
257,car,1.0
258,cat,1.0
258,dog,1.0
258,plane,1.0
258,clothes,1.0
258,car,1.0
259,cat,1.0
259,dog,1.0
259,plane,1.0
259,clothes,1.0
259,car,1.0
260,cat,1.0
260,dog,1.0
260,plane,1.0
260,clothes,1.0
260,car,1.0
261,cat,1.0
261,dog,1.0
261,plane,1.0
261,clothes,1.0
261,car,1.0
262,cat,1.0
262,dog,1.0
262,plane,1.0
262,clothes,1.0
262,car,1.0
263,cat,1.0
263,dog,1.0
263,plane,1.0
263,clothes,1.0
263,car,1.0
264,cat,1.0
264,dog,1.0
264,plane,1.0
264,clothes,1.0
264,car,1.0
265,cat,1.0
265,dog,1.0
265,plane,1.0
265,clothes,1.0
265,car,1.0
266,cat,1.0
266,dog,1.0
266,plane,1.0
266,clothes,1.0
266,car,1.0
267,cat,1.0
267,dog,1.0
267,plane,1.0
267,clothes,1.0
267,car,1.0
268,cat,1.0
268,dog,1.0
268,plane,1.0
268,clothes,1.0
268,car,1.0
269,cat,1.0
269,dog,1.0
269,plane,1.0
269,clothes,1.0
269,car,1.0
270,cat,1.0
270,dog,1.0
270,plane,1.0
270,clothes,1.0
270,car,1.0
271,cat,1.0
271,dog,1.0
271,plane,1.0
271,clothes,1.0
271,car,1.0
272,cat,1.0
272,dog,1.0
272,plane,1.0
272,clothes,1.0
272,car,1.0
273,cat,1.0
273,dog,1.0
273,plane,1.0
273,clothes,1.0
273,car,1.0
274,cat,1.0
274,dog,1.0
274,plane,1.0
274,clothes,1.0
274,car,1.0
275,cat,1.0
275,dog,1.0
275,plane,1.0
275,clothes,1.0
275,car,1.0
276,cat,1.0
276,dog,1.0
276,plane,1.0
276,clothes,1.0
276,car,1.0
277,cat,1.0
277,dog,1.0
277,plane,1.0
277,clothes,1.0
277,car,1.0
278,cat,1.0
278,dog,1.0
278,plane,1.0
278,clothes,1.0
278,car,1.0
279,cat,1.0
279,dog,1.0
279,plane,1.0
279,clothes,1.0
279,car,1.0
280,cat,1.0
280,dog,1.0
280,plane,1.0
280,clothes,1.0
280,car,1.0
281,cat,1.0
281,dog,1.0
281,plane,1.0
281,clothes,1.0
281,car,1.0
282,cat,1.0
282,dog,1.0
282,plane,1.0
282,clothes,1.0
282,car,1.0
283,cat,1.0
283,dog,1.0
283,plane,1.0
283,clothes,1.0
283,car,1.0
284,cat,1.0
284,dog,1.0
284,plane,1.0
284,clothes,1.0
284,car,1.0
