round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score
30,13,1,0.080769,0.015625,0.112636,0.051959,0.201297,0.028726,0.082567,0.082773
30,14,1,0.448982,0.015625,0.136709,0.083628,0.796654,0.112618,0.074119,0.192700
30,15,1,0.251850,0.015625,0.117910,0.065004,0.451471,0.060691,0.071659,0.125852
30,16,1,0.071009,0.015625,0.114332,0.054670,0.335644,0.036286,0.077447,0.103817
30,17,1,0.225512,0.015625,0.126675,0.068271,0.577429,0.079181,0.076298,0.150868
30,18,1,0.023145,0.015625,0.112580,0.049743,0.320491,0.024862,0.079356,0.099244
30,19,1,0.378901,0.015625,0.118546,0.065841,0.591675,0.064448,0.076849,0.149373
30,20,2,0.154859,0.015625,0.119667,0.061528,0.471485,0.059411,0.112386,0.138721
30,21,2,0.496025,0.015625,0.144495,0.092865,0.833431,0.131161,0.105039,0.211485
30,22,2,0.753268,0.015625,0.152694,0.102633,0.926894,0.148092,0.056707,0.218842
30,23,2,0.075313,0.015625,0.112125,0.051542,0.320640,0.027840,0.056907,0.094262
30,24,2,0.346724,0.015625,0.118127,0.061726,0.727183,0.056181,0.109883,0.176466
30,25,2,0.118530,0.015625,0.120580,0.060567,0.426997,0.057703,0.109838,0.131013
30,26,2,0.401554,0.015625,0.126440,0.072492,0.711327,0.085725,0.115062,0.182697
30,27,2,0.428317,0.015625,0.126232,0.080048,0.838519,0.098137,0.117778,0.205811
30,28,2,0.226272,0.015625,0.111427,0.061932,0.475837,0.047231,0.077330,0.127535
30,29,2,0.109343,0.015625,0.121407,0.057491,0.396070,0.052274,0.024078,0.103495
30,30,3,0.108891,0.015625,0.107564,0.053423,0.290629,0.022541,0.032863,0.082417
30,31,3,0.559639,0.015625,0.122884,0.075195,0.752311,0.086225,0.047589,0.171901
30,32,3,0.161426,0.015625,0.115652,0.059292,0.450625,0.049174,0.037489,0.114159
30,33,3,0.041007,0.015625,0.112212,0.051197,0.397340,0.027042,0.059082,0.106369
30,34,3,0.306667,0.015625,0.115989,0.062148,0.406528,0.054200,0.068562,0.116503
30,35,3,0.482934,0.015625,0.128783,0.078353,0.820364,0.097570,0.063713,0.189439
30,36,3,0.444939,0.015625,0.122772,0.075314,0.803981,0.086749,0.048569,0.180123
30,37,3,0.300442,0.015625,0.110272,0.060003,0.496356,0.042866,0.047735,0.122081
30,38,3,0.255183,0.015625,0.114304,0.059799,0.424970,0.046946,0.053900,0.113916
30,39,3,0.542584,0.015625,0.143932,0.096459,0.852558,0.137557,0.069106,0.206777
30,40,4,0.357393,0.015625,0.122216,0.066134,0.542185,0.069741,0.081755,0.144441
30,41,4,0.440077,0.015625,0.123197,0.073958,0.819752,0.084416,0.081042,0.190225
30,42,4,0.374670,0.015625,0.113349,0.063916,0.618063,0.052366,0.063496,0.147141
30,43,4,0.072453,0.015625,0.117666,0.054278,0.331450,0.041071,0.093616,0.108416
30,44,4,0.146514,0.015625,0.112713,0.054360,0.403308,0.033819,0.067609,0.111012
30,45,4,0.031405,0.015625,0.112808,0.052077,0.200337,0.028233,0.052185,0.074934
30,46,4,0.216687,0.015625,0.105811,0.054178,0.233200,0.021365,0.060606,0.080315
30,47,4,0.446234,0.015625,0.127921,0.078535,0.824689,0.097780,0.064283,0.190176
30,48,4,0.301519,0.015625,0.113954,0.061376,0.511043,0.049599,0.082171,0.134785
30,49,4,0.532519,0.015625,0.152383,0.103400,0.865914,0.148537,0.081131,0.215822
40,0,0,0.139619,0.003906,0.112570,0.054958,0.273165,0.035443,0.083227,0.094006
40,1,0,0.247320,0.003906,0.120301,0.060554,0.467652,0.057819,0.087434,0.130382
40,2,0,0.039080,0.003906,0.115775,0.050797,0.300273,0.030668,0.089504,0.098874
40,3,0,0.724847,0.003906,0.170829,0.121621,0.933455,0.181777,0.078817,0.235493
40,4,0,0.368557,0.003906,0.140244,0.079924,0.684067,0.112969,0.083973,0.177091
40,5,0,0.268096,0.003906,0.118031,0.064427,0.509761,0.061328,0.080691,0.135940
40,6,0,0.150631,0.003906,0.124375,0.064140,0.483946,0.070957,0.093382,0.137543
40,7,0,0.568517,0.003906,0.141239,0.089569,0.880922,0.129546,0.084806,0.211713
40,8,0,0.168080,0.003906,0.113180,0.057980,0.322561,0.043240,0.078978,0.102266
40,9,0,0.311360,0.003906,0.135640,0.079751,0.646998,0.107230,0.082317,0.169390
40,10,1,0.490499,0.003906,0.154574,0.098622,0.844258,0.148712,0.070773,0.208800
40,11,1,0.199080,0.003906,0.128544,0.066625,0.524647,0.080175,0.079305,0.142643
40,12,1,0.612538,0.003906,0.163936,0.117852,0.870047,0.177061,0.067478,0.220565
40,13,1,0.080769,0.003906,0.109906,0.054360,0.236110,0.029358,0.082567,0.086728
40,14,1,0.448982,0.003906,0.157845,0.104929,0.826844,0.158723,0.074119,0.209938
40,15,1,0.251850,0.003906,0.120217,0.064043,0.489165,0.065029,0.071659,0.131320
40,16,1,0.071009,0.003906,0.105052,0.051784,0.142001,0.016789,0.077447,0.067936
40,17,1,0.225512,0.003906,0.133083,0.063912,0.534231,0.080152,0.076298,0.143612
40,18,1,0.023145,0.003906,0.123342,0.048722,0.255182,0.039075,0.079356,0.091461
40,19,1,0.378901,0.003906,0.117714,0.071535,0.379317,0.076101,0.076849,0.118198
40,20,2,0.154859,0.003906,0.124918,0.061127,0.389445,0.064573,0.112386,0.126465
40,21,2,0.496025,0.003906,0.154891,0.111210,0.850620,0.163414,0.105039,0.222645
40,22,2,0.753268,0.003906,0.170428,0.122126,0.941061,0.182270,0.056707,0.231166
40,23,2,0.075313,0.003906,0.111796,0.056538,0.386906,0.037000,0.056907,0.105204
40,24,2,0.346724,0.003906,0.124653,0.076963,0.675182,0.091388,0.109883,0.176227
40,25,2,0.118530,0.003906,0.124561,0.063989,0.451886,0.070856,0.109838,0.136763
40,26,2,0.401554,0.003906,0.138441,0.079192,0.726883,0.108804,0.115062,0.190521
40,27,2,0.428317,0.003906,0.147241,0.096791,0.785815,0.137902,0.117778,0.208685
40,28,2,0.226272,0.003906,0.106371,0.059328,0.314116,0.036564,0.077330,0.098730
40,29,2,0.109343,0.003906,0.119303,0.059291,0.356469,0.053179,0.024078,0.096221
40,30,3,0.108891,0.003906,0.112025,0.054630,0.187486,0.033056,0.032863,0.067603
40,31,3,0.559639,0.003906,0.122828,0.077389,0.825732,0.090852,0.047589,0.183341
40,32,3,0.161426,0.003906,0.108170,0.050587,0.218773,0.018687,0.037489,0.070207
40,33,3,0.041007,0.003906,0.114279,0.055265,0.246982,0.038050,0.059082,0.084572
40,34,3,0.306667,0.003906,0.116186,0.060750,0.468779,0.051822,0.068562,0.124290
40,35,3,0.482934,0.003906,0.150049,0.096644,0.851084,0.142537,0.063713,0.206152
40,36,3,0.444939,0.003906,0.131452,0.086980,0.753368,0.112776,0.048569,0.178539
40,37,3,0.300442,0.003906,0.116239,0.060869,0.404913,0.052949,0.047735,0.109402
40,38,3,0.255183,0.003906,0.127916,0.072543,0.666787,0.086897,0.053900,0.159909
40,39,3,0.542584,0.003906,0.161393,0.115414,0.862174,0.171453,0.069106,0.218164
40,40,4,0.357393,0.003906,0.126525,0.069687,0.703428,0.082012,0.081755,0.171200
40,41,4,0.440077,0.003906,0.144500,0.098160,0.827959,0.141168,0.081042,0.206179
40,42,4,0.374670,0.003906,0.110089,0.060035,0.436311,0.042757,0.063496,0.115624
40,43,4,0.072453,0.003906,0.114516,0.052030,0.238526,0.033862,0.093616,0.090907
40,44,4,0.146514,0.003906,0.124980,0.062063,0.433082,0.068753,0.067609,0.122643
40,45,4,0.031405,0.003906,0.109314,0.050795,0.163638,0.022681,0.052185,0.066255
40,46,4,0.216687,0.003906,0.113916,0.052561,0.346288,0.034332,0.060606,0.099195
40,47,4,0.446234,0.003906,0.130663,0.078531,0.813602,0.102191,0.064283,0.188758
40,48,4,0.301519,0.003906,0.123290,0.068620,0.669727,0.078113,0.082171,0.164887
40,49,4,0.532519,0.003906,0.172336,0.118496,0.871677,0.179757,0.081131,0.226019
50,0,0,0.139619,0.000977,0.136240,0.068633,0.490154,0.091008,0.083227,0.141606
50,1,0,0.247320,0.000977,0.127501,0.065124,0.478975,0.074138,0.087434,0.136529
50,2,0,0.039080,0.000977,0.107419,0.051154,0.144324,0.018109,0.089504,0.071569
50,3,0,0.724847,0.000977,0.191444,0.142529,0.926574,0.213136,0.078817,0.246195
50,4,0,0.368557,0.000977,0.122377,0.075999,0.558176,0.090354,0.083973,0.151304
50,5,0,0.268096,0.000977,0.127560,0.058041,0.477513,0.063156,0.080691,0.131836
50,6,0,0.150631,0.000977,0.119443,0.057855,0.385318,0.052193,0.093382,0.117876
50,7,0,0.568517,0.000977,0.154196,0.111130,0.876750,0.164299,0.084806,0.222222
50,8,0,0.168080,0.000977,0.118870,0.055729,0.426998,0.048188,0.078978,0.119653
50,9,0,0.311360,0.000977,0.139073,0.085330,0.713402,0.120835,0.082317,0.183471
50,10,1,0.490499,0.000977,0.183390,0.128491,0.836184,0.199476,0.070773,0.224740
50,11,1,0.199080,0.000977,0.115330,0.057054,0.382251,0.045055,0.079305,0.112010
50,12,1,0.612538,0.000977,0.183357,0.134176,0.919599,0.203989,0.067478,0.238371
50,13,1,0.080769,0.000977,0.127001,0.056603,0.421217,0.062817,0.082567,0.123244
50,14,1,0.448982,0.000977,0.147228,0.088466,0.818450,0.131088,0.074119,0.200906
50,15,1,0.251850,0.000977,0.127481,0.073031,0.565515,0.090428,0.071659,0.149630
50,16,1,0.071009,0.000977,0.111930,0.049421,0.178501,0.025001,0.077447,0.075261
50,17,1,0.225512,0.000977,0.114209,0.059803,0.396340,0.052871,0.076298,0.114883
50,18,1,0.023145,0.000977,0.123625,0.059141,0.365282,0.059154,0.079356,0.113102
50,19,1,0.378901,0.000977,0.110474,0.061741,0.302805,0.044107,0.076849,0.098947
50,20,2,0.154859,0.000977,0.118122,0.052989,0.185604,0.040585,0.112386,0.089062
50,21,2,0.496025,0.000977,0.170526,0.118474,0.815204,0.181859,0.105039,0.224046
50,22,2,0.753268,0.000977,0.191395,0.145547,0.955763,0.215283,0.056707,0.245894
50,23,2,0.075313,0.000977,0.124164,0.057648,0.313231,0.057262,0.056907,0.098919
50,24,2,0.346724,0.000977,0.158422,0.097423,0.744752,0.151254,0.109883,0.204674
50,25,2,0.118530,0.000977,0.127244,0.056104,0.434830,0.060845,0.109838,0.131917
50,26,2,0.401554,0.000977,0.146197,0.094280,0.678524,0.136527,0.115062,0.191195
50,27,2,0.428317,0.000977,0.115689,0.066120,0.296268,0.063465,0.117778,0.112714
50,28,2,0.226272,0.000977,0.122886,0.065688,0.493629,0.070848,0.077330,0.135138
50,29,2,0.109343,0.000977,0.133489,0.057171,0.368994,0.069561,0.024078,0.102420
50,30,3,0.108891,0.000977,0.115384,0.054302,0.185476,0.040012,0.032863,0.068603
50,31,3,0.559639,0.000977,0.146263,0.098862,0.848608,0.144686,0.047589,0.202385
50,32,3,0.161426,0.000977,0.120246,0.061158,0.399599,0.058996,0.037489,0.107591
50,33,3,0.041007,0.000977,0.122147,0.056339,0.292509,0.053952,0.059082,0.095258
50,34,3,0.306667,0.000977,0.129077,0.075988,0.611950,0.095294,0.068562,0.157466
50,35,3,0.482934,0.000977,0.169947,0.111542,0.803855,0.176367,0.063713,0.209832
50,36,3,0.444939,0.000977,0.122414,0.069708,0.562014,0.078179,0.048569,0.140104
50,37,3,0.300442,0.000977,0.133378,0.072017,0.471893,0.095627,0.047735,0.130591
50,38,3,0.255183,0.000977,0.138212,0.069109,0.624136,0.097154,0.053900,0.156218
50,39,3,0.542584,0.000977,0.190408,0.131576,0.868933,0.204670,0.069106,0.231689
50,40,4,0.357393,0.000977,0.141458,0.088385,0.767009,0.125511,0.081755,0.193161
50,41,4,0.440077,0.000977,0.169043,0.112055,0.820940,0.178465,0.081042,0.217134
50,42,4,0.374670,0.000977,0.143589,0.086934,0.679675,0.125037,0.063496,0.175038
50,43,4,0.072453,0.000977,0.102973,0.051891,0.077740,0.013663,0.093616,0.061081
50,44,4,0.146514,0.000977,0.116816,0.056195,0.325014,0.045070,0.067609,0.100279
50,45,4,0.031405,0.000977,0.110496,0.050117,0.226372,0.024044,0.052185,0.076018
50,46,4,0.216687,0.000977,0.123436,0.065026,0.336106,0.070732,0.060606,0.106483
50,47,4,0.446234,0.000977,0.152422,0.092773,0.801974,0.141741,0.064283,0.198923
50,48,4,0.301519,0.000977,0.123311,0.069459,0.539426,0.079013,0.082171,0.145344
50,49,4,0.532519,0.000977,0.191609,0.137087,0.863932,0.209263,0.081131,0.235685
