round,query,prec10
139,clothes,0.9
139,car,0.8
140,cat,0.7
140,dog,0.8
140,plane,0.7
140,clothes,0.9
140,car,0.8
141,cat,0.7
141,dog,0.8
141,plane,0.7
141,clothes,0.9
141,car,0.8
142,cat,0.7
142,dog,0.8
142,plane,0.7
142,clothes,0.9
142,car,0.8
143,cat,0.7
143,dog,0.8
143,plane,0.7
143,clothes,0.9
143,car,0.8
144,cat,0.7
144,dog,0.8
144,plane,0.7
144,clothes,0.9
144,car,0.8
145,cat,0.7
145,dog,0.8
145,plane,0.7
145,clothes,0.9
145,car,0.8
146,cat,0.7
146,dog,0.8
146,plane,0.7
146,clothes,0.9
146,car,0.8
147,cat,0.7
147,dog,0.8
147,plane,0.7
147,clothes,0.9
147,car,0.8
148,cat,0.7
148,dog,0.8
148,plane,0.7
148,clothes,0.9
148,car,0.8
149,cat,0.7
149,dog,0.8
149,plane,0.7
149,clothes,0.9
149,car,0.8
150,cat,0.7
150,dog,0.8
150,plane,0.7
150,clothes,0.9
150,car,0.8
151,cat,0.7
151,dog,0.8
151,plane,0.7
151,clothes,0.9
151,car,0.8
152,cat,0.7
152,dog,0.8
152,plane,0.7
152,clothes,0.9
152,car,0.8
153,cat,0.7
153,dog,0.8
153,plane,0.7
153,clothes,0.9
153,car,0.8
154,cat,0.7
154,dog,0.8
154,plane,0.7
154,clothes,0.9
154,car,0.8
155,cat,0.7
155,dog,0.8
155,plane,0.7
155,clothes,0.9
155,car,0.8
156,cat,0.7
156,dog,0.8
156,plane,0.7
156,clothes,0.9
156,car,0.8
157,cat,0.7
157,dog,0.8
157,plane,0.7
157,clothes,0.9
157,car,0.8
158,cat,0.7
158,dog,0.8
158,plane,0.7
158,clothes,0.9
158,car,0.8
159,cat,0.7
159,dog,0.8
159,plane,0.7
159,clothes,0.9
159,car,0.8
160,cat,0.7
160,dog,0.8
160,plane,0.7
160,clothes,0.9
160,car,0.8
161,cat,0.7
161,dog,0.8
161,plane,0.7
161,clothes,0.9
161,car,0.8
162,cat,0.7
162,dog,0.8
162,plane,0.7
162,clothes,0.9
162,car,0.8
163,cat,0.7
163,dog,0.8
163,plane,0.7
163,clothes,0.9
163,car,0.8
164,cat,0.7
164,dog,0.8
164,plane,0.7
164,clothes,0.9
164,car,0.8
165,cat,0.7
165,dog,0.8
165,plane,0.7
165,clothes,0.9
165,car,0.8
166,cat,0.7
166,dog,0.8
166,plane,0.7
166,clothes,0.9
166,car,0.8
167,cat,0.7
167,dog,0.8
167,plane,0.7
167,clothes,0.9
167,car,0.8
168,cat,0.7
168,dog,0.8
168,plane,0.7
168,clothes,0.9
168,car,0.8
169,cat,0.7
169,dog,0.8
169,plane,0.7
169,clothes,0.9
169,car,0.8
170,cat,0.7
170,dog,0.8
170,plane,0.7
170,clothes,0.9
170,car,0.8
171,cat,0.7
171,dog,0.8
171,plane,0.7
171,clothes,0.9
171,car,0.8
172,cat,0.7
172,dog,0.8
172,plane,0.7
172,clothes,0.9
172,car,0.8
173,cat,0.7
173,dog,0.8
173,plane,0.7
173,clothes,0.9
173,car,0.8
174,cat,0.7
174,dog,0.8
174,plane,0.7
174,clothes,0.9
174,car,0.8
175,cat,0.7
175,dog,0.8
175,plane,0.7
175,clothes,0.9
175,car,0.8
176,cat,0.7
176,dog,0.8
176,plane,0.7
176,clothes,0.9
176,car,0.8
177,cat,0.7
177,dog,0.8
177,plane,0.7
177,clothes,0.9
177,car,0.8
178,cat,0.7
178,dog,0.8
178,plane,0.7
178,clothes,0.9
178,car,0.8
179,cat,0.7
179,dog,0.8
179,plane,0.7
179,clothes,0.9
179,car,0.8
180,cat,0.7
180,dog,0.8
180,plane,0.7
180,clothes,0.9
180,car,0.8
181,cat,0.7
181,dog,0.8
181,plane,0.7
181,clothes,0.9
181,car,0.8
182,cat,0.7
