round,query_label,image_id,category,rank,score
60,cat,6,0,8,3.812041
60,cat,8,0,9,3.811944
60,cat,19,1,10,3.106748
60,cat,2,0,11,2.577685
60,cat,11,1,12,1.592840
60,cat,13,1,13,1.420841
60,dog,12,1,1,6.510151
60,dog,14,1,2,5.530149
60,dog,19,1,3,5.154799
60,dog,10,1,4,5.022415
60,dog,17,1,5,4.672547
60,dog,15,1,6,4.511414
60,dog,7,0,7,3.944106
60,dog,4,0,8,3.705934
60,dog,11,1,9,3.643048
60,dog,13,1,10,3.472475
60,dog,18,1,11,2.721226
60,dog,16,1,12,2.560563
60,dog,6,0,13,1.752761
60,plane,22,2,1,6.951593
60,plane,21,2,2,5.433158
60,plane,27,2,3,5.288030
60,plane,24,2,4,4.468172
60,plane,26,2,5,4.431393
60,plane,23,2,6,3.887736
60,plane,29,2,7,3.756166
60,plane,20,2,8,3.619906
60,plane,25,2,9,3.441245
60,plane,28,2,10,3.300403
60,plane,8,0,11,1.741865
60,plane,6,0,12,1.721516
60,plane,16,1,13,0.490827
60,clothes,35,3,1,6.567827
60,clothes,31,3,2,5.640023
60,clothes,36,3,3,5.236390
60,clothes,39,3,4,4.848918
60,clothes,37,3,5,4.038397
60,clothes,4,0,6,3.691196
60,clothes,34,3,7,3.590395
60,clothes,38,3,8,3.489219
60,clothes,33,3,9,3.199991
60,clothes,32,3,10,2.805900
60,clothes,30,3,11,2.751653
60,clothes,9,0,12,2.473646
60,clothes,6,0,13,1.741427
60,car,49,4,1,6.546495
60,car,41,4,2,5.600320
60,car,42,4,3,4.979384
60,car,47,4,4,4.687224
60,car,40,4,5,4.586341
60,car,48,4,6,4.255132
60,car,44,4,7,4.036919
60,car,46,4,8,3.825164
60,car,45,4,9,3.505627
60,car,21,2,10,3.369349
60,car,43,4,11,2.845356
60,car,26,2,12,2.367980
60,car,25,2,13,1.369890
70,cat,3,0,1,6.686928
70,cat,7,0,2,5.868708
70,cat,4,0,3,5.315682
70,cat,5,0,4,4.722817
70,cat,9,0,5,4.408235
70,cat,1,0,6,4.280591
70,cat,0,0,7,3.958237
70,cat,8,0,8,3.898995
70,cat,19,1,9,3.286297
70,cat,6,0,10,3.255537
70,cat,2,0,11,2.623086
70,cat,11,1,12,2.246699
70,cat,13,1,13,1.544934
70,dog,12,1,1,6.623123
70,dog,14,1,2,5.817187
70,dog,19,1,3,5.334348
70,dog,10,1,4,5.261722
70,dog,15,1,5,4.769386
70,dog,11,1,6,4.296907
70,dog,17,1,7,4.124588
70,dog,7,0,8,3.812332
70,dog,13,1,9,3.596568
70,dog,4,0,10,3.263521
70,dog,18,1,11,2.600608
70,dog,16,1,12,2.509058
70,dog,6,0,13,1.196257
70,plane,22,2,1,7.229544
70,plane,21,2,2,5.605545
70,plane,24,2,3,5.435763
70,plane,27,2,4,5.243846
70,plane,26,2,5,4.949042
70,plane,23,2,6,3.868021
70,plane,28,2,7,3.790417
70,plane,20,2,8,3.708528
70,plane,25,2,9,3.658815
70,plane,29,2,10,3.500346
70,plane,8,0,11,1.828916
70,plane,6,0,12,1.165012
70,plane,16,1,13,0.439322
70,clothes,35,3,1,6.103641
70,clothes,31,3,2,5.428231
70,clothes,36,3,3,5.120790
70,clothes,38,3,4,4.554912
70,clothes,37,3,5,4.350832
70,clothes,39,3,6,4.204939
70,clothes,34,3,7,3.829598
70,clothes,4,0,8,3.248783
70,clothes,32,3,9,3.227025
70,clothes,33,3,10,3.090373
70,clothes,30,3,11,2.727409
70,clothes,9,0,12,2.344135
70,clothes,6,0,13,1.184923
70,car,49,4,1,6.458961
70,car,41,4,2,5.487413
70,car,47,4,3,4.808106
70,car,42,4,4,4.453821
70,car,40,4,5,4.329422
70,car,48,4,6,4.152870
70,car,46,4,7,4.120883
70,car,21,2,8,3.541736
70,car,45,4,9,3.540434
70,car,44,4,10,3.259706
70,car,26,2,11,2.885628
70,car,43,4,12,2.845328
70,car,25,2,13,1.587461
80,cat,3,0,1,6.945327
80,cat,7,0,2,5.486116
80,cat,4,0,3,5.274831
80,cat,5,0,4,4.742436
80,cat,9,0,5,4.715188
80,cat,1,0,6,4.289969
80,cat,8,0,7,4.044047
80,cat,0,0,8,3.941807
80,cat,19,1,9,3.447766
80,cat,6,0,10,3.211849
80,cat,2,0,11,2.582556
80,cat,11,1,12,1.765809
80,cat,13,1,13,1.379005
80,dog,12,1,1,6.675606
80,dog,19,1,2,5.495817
80,dog,14,1,3,5.488813
80,dog,10,1,4,4.823455
80,dog,15,1,5,4.587675
80,dog,17,1,6,4.328696
80,dog,11,1,7,3.816017
80,dog,13,1,8,3.430639
80,dog,7,0,9,3.429741
80,dog,4,0,10,3.222670
80,dog,18,1,11,2.587645
80,dog,16,1,12,2.503524
80,dog,6,0,13,1.152568
80,plane,22,2,1,6.873377
80,plane,21,2,2,5.708286
80,plane,27,2,3,5.704814
80,plane,24,2,4,5.098905
80,plane,26,2,5,4.650131
80,plane,20,2,6,3.951471
80,plane,25,2,7,3.787267
80,plane,23,2,8,3.669091
80,plane,29,2,9,3.496155
80,plane,28,2,10,3.384275
80,plane,8,0,11,1.973969
80,plane,6,0,12,1.121324
80,plane,16,1,13,0.433788
80,clothes,35,3,1,6.392345
80,clothes,36,3,2,5.589599
80,clothes,31,3,3,5.203413
80,clothes,39,3,4,4.968525
80,clothes,37,3,5,4.639642
80,clothes,38,3,6,4.089338
80,clothes,34,3,7,3.737150
80,clothes,32,3,8,3.539308
80,clothes,33,3,9,3.446480
80,clothes,4,0,10,3.207932
80,clothes,30,3,11,2.724597
80,clothes,9,0,12,2.651088
80,clothes,6,0,13,1.141235
80,car,49,4,1,6.089163
80,car,41,4,2,5.143776
80,car,42,4,3,5.101368
80,car,47,4,4,4.545698
80,car,40,4,5,4.286644
80,car,48,4,6,3.959132
80,car,21,2,7,3.644477
80,car,45,4,8,3.506189
80,car,46,4,9,3.450904
80,car,44,4,10,3.164960
80,car,43,4,11,2.845325
80,car,26,2,12,2.586717
80,car,25,2,13,1.715912
90,cat,3,0,1,6.985919
90,cat,7,0,2,5.897152
90,cat,4,0,3,5.438783
90,cat,5,0,4,5.102477
90,cat,9,0,5,4.539423
90,cat,1,0,6,4.488149
90,cat,8,0,7,4.379096
90,cat,6,0,8,3.618204
90,cat,19,1,9,3.419567
90,cat,0,0,10,3.374841
90,cat,2,0,11,2.578204
90,cat,11,1,12,2.226132
90,cat,13,1,13,1.631538
90,dog,12,1,1,6.410853
90,dog,14,1,2,5.638592
90,dog,19,1,3,5.467619
90,dog,10,1,4,5.068534
90,dog,15,1,5,4.981153
90,dog,11,1,6,4.276340
90,dog,17,1,7,4.091443
90,dog,7,0,8,3.840777
90,dog,13,1,9,3.683172
90,dog,4,0,10,3.386622
90,dog,18,1,11,2.585993
90,dog,16,1,12,2.502930
90,dog,6,0,13,1.558924
90,plane,22,2,1,6.747585
90,plane,21,2,2,5.951966
90,plane,27,2,3,5.223451
90,plane,26,2,4,4.703390
90,plane,24,2,5,4.469750
90,plane,28,2,6,4.083041
90,plane,20,2,7,3.781459
90,plane,23,2,8,3.564492
90,plane,25,2,9,3.514271
90,plane,29,2,10,3.284024
90,plane,8,0,11,2.309018
