round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score
30,33,3,0.041007,0.941094,0.192873,0.083063,0.313671,0.178796,0.059082,0.270773
30,34,3,0.306667,0.503178,0.226271,0.176654,0.625378,0.272864,0.068562,0.288232
30,35,3,0.482934,0.996338,0.433441,0.418259,0.847499,0.500581,0.063713,0.495600
30,36,3,0.444939,0.974967,0.252408,0.231369,0.836792,0.331424,0.048569,0.406659
30,37,3,0.300442,0.882176,0.242586,0.199497,0.623949,0.296641,0.047735,0.348828
30,38,3,0.255183,0.676028,0.243510,0.174928,0.597203,0.282208,0.053900,0.309791
30,39,3,0.542584,0.396972,0.239337,0.197529,0.854023,0.290315,0.069106,0.314872
30,40,4,0.357393,0.618226,0.306122,0.217311,0.768501,0.335036,0.081755,0.357676
30,41,4,0.440077,0.439998,0.294448,0.242876,0.815104,0.343371,0.081042,0.341339
30,42,4,0.374670,0.998764,0.300960,0.254976,0.807063,0.373559,0.063496,0.426509
30,43,4,0.072453,0.903416,0.102155,0.050067,0.012022,0.005000,0.093616,0.183464
30,44,4,0.146514,0.689342,0.226954,0.081843,0.514192,0.205767,0.067609,0.274622
30,45,4,0.031405,0.951144,0.238600,0.081110,0.413719,0.209626,0.052185,0.296810
30,46,4,0.216687,0.417879,0.185802,0.108826,0.581589,0.196698,0.060606,0.239186
30,47,4,0.446234,0.411187,0.246281,0.221083,0.704909,0.301641,0.064283,0.299462
30,48,4,0.301519,0.202837,0.170289,0.115749,0.654601,0.188018,0.082171,0.220988
30,49,4,0.532519,0.641344,0.392967,0.456337,0.869967,0.491066,0.081131,0.448694
40,0,0,0.139619,0.913744,0.155785,0.097851,0.315565,0.158981,0.083227,0.266238
40,1,0,0.247320,0.604284,0.171495,0.084310,0.338953,0.159725,0.087434,0.225266
40,2,0,0.039080,0.376352,0.100043,0.050015,0.000129,0.000123,0.089504,0.100500
40,3,0,0.724847,0.758512,0.342621,0.402801,0.920094,0.449782,0.078817,0.451619
40,4,0,0.368557,0.877995,0.202234,0.192318,0.755137,0.303792,0.083973,0.371073
40,5,0,0.268096,0.978493,0.223289,0.130462,0.587567,0.247075,0.080691,0.344794
40,6,0,0.150631,0.889366,0.147010,0.091197,0.307781,0.153767,0.093382,0.260896
40,7,0,0.568517,0.431510,0.270844,0.278435,0.898016,0.364930,0.084806,0.359048
40,8,0,0.168080,0.708548,0.189527,0.070545,0.379535,0.164099,0.078978,0.246032
40,9,0,0.311360,0.949324,0.244183,0.204250,0.684739,0.300912,0.082317,0.378030
40,10,1,0.490499,0.330722,0.237313,0.215992,0.862388,0.299194,0.070773,0.310836
40,11,1,0.199080,0.747691,0.223993,0.121929,0.542398,0.233724,0.079305,0.300087
40,12,1,0.612538,0.452362,0.366432,0.422782,0.870002,0.473028,0.067478,0.405724
40,13,1,0.080769,0.451742,0.190659,0.078239,0.388940,0.173704,0.082567,0.213014
40,14,1,0.448982,0.649095,0.323657,0.257733,0.808831,0.373930,0.074119,0.381069
40,15,1,0.251850,0.607621,0.164424,0.112205,0.334817,0.187181,0.071659,0.228530
40,16,1,0.071009,0.250822,0.100102,0.050086,0.000428,0.000465,0.077447,0.078959
40,17,1,0.225512,0.888624,0.224607,0.113574,0.565140,0.229853,0.076298,0.321964
40,18,1,0.023145,0.413460,0.103221,0.050243,0.009153,0.007112,0.079356,0.106404
40,19,1,0.378901,0.963053,0.297565,0.269123,0.724913,0.374526,0.076849,0.413593
40,20,2,0.154859,0.438756,0.198585,0.111230,0.460268,0.207196,0.112386,0.240631
40,21,2,0.496025,0.631503,0.404435,0.367499,0.817996,0.452228,0.105039,0.427861
40,22,2,0.753268,0.902978,0.412008,0.455200,0.945027,0.496203,0.056707,0.496437
40,23,2,0.075313,0.808482,0.182184,0.093002,0.317003,0.177768,0.056907,0.250220
40,24,2,0.346724,0.538510,0.238512,0.178077,0.614116,0.277711,0.109883,0.304874
40,25,2,0.118530,0.449373,0.256068,0.138774,0.410306,0.263671,0.109838,0.255103
40,26,2,0.401554,0.470468,0.271739,0.206934,0.712388,0.311042,0.115062,0.325301
40,27,2,0.428317,0.704882,0.309839,0.252096,0.829624,0.356471,0.117778,0.397922
40,28,2,0.226272,0.371389,0.170739,0.126584,0.492513,0.198547,0.077330,0.223696
40,29,2,0.109343,0.827696,0.133898,0.055835,0.132709,0.080705,0.024078,0.189393
40,30,3,0.108891,0.783261,0.106337,0.049901,0.020774,0.011761,0.032863,0.152559
40,31,3,0.559639,0.471442,0.283841,0.312354,0.911619,0.383522,0.047589,0.367578
40,32,3,0.161426,0.399845,0.134690,0.063687,0.247931,0.100142,0.037489,0.151011
40,33,3,0.041007,0.941094,0.181919,0.103804,0.296948,0.183976,0.059082,0.269938
40,34,3,0.306667,0.503178,0.168086,0.124339,0.382198,0.191612,0.068562,0.222499
40,35,3,0.482934,0.996338,0.394731,0.426376,0.847155,0.484414,0.063713,0.488487
40,36,3,0.444939,0.974967,0.250621,0.220931,0.659250,0.317065,0.048569,0.375425
40,37,3,0.300442,0.882176,0.222101,0.166554,0.673092,0.273616,0.047735,0.344568
40,38,3,0.255183,0.676028,0.215640,0.141127,0.672585,0.248435,0.053900,0.306816
40,39,3,0.542584,0.396972,0.197945,0.150898,0.741184,0.240550,0.069106,0.277318
40,40,4,0.357393,0.618226,0.212217,0.142240,0.434939,0.242790,0.081755,0.267838
40,41,4,0.440077,0.439998,0.227650,0.189899,0.776045,0.283507,0.081042,0.308754
40,42,4,0.374670,0.998764,0.234420,0.183464,0.615657,0.298205,0.063496,0.365169
40,43,4,0.072453,0.903416,0.100233,0.050007,0.001291,0.000544,0.093616,0.180060
40,44,4,0.146514,0.689342,0.165848,0.087419,0.319150,0.158543,0.067609,0.229384
40,45,4,0.031405,0.951144,0.202819,0.081896,0.327098,0.183437,0.052185,0.273961
40,46,4,0.216687,0.417879,0.155181,0.070873,0.335839,0.126451,0.060606,0.180931
40,47,4,0.446234,0.411187,0.255180,0.194636,0.812015,0.302953,0.064283,0.313451
40,48,4,0.301519,0.202837,0.211912,0.159329,0.650020,0.249366,0.082171,0.242536
40,49,4,0.532519,0.641344,0.410430,0.444287,0.890105,0.483404,0.081131,0.451518
50,0,0,0.139619,0.913744,0.219010,0.066492,0.490573,0.187855,0.083227,0.301156
50,1,0,0.247320,0.604284,0.167296,0.107904,0.437155,0.176530,0.087434,0.245427
50,2,0,0.039080,0.376352,0.100005,0.050002,0.000014,0.000013,0.089504,0.100033
50,3,0,0.724847,0.758512,0.349311,0.433009,0.942060,0.468295,0.078817,0.463413
50,4,0,0.368557,0.877995,0.262040,0.246027,0.728729,0.347481,0.083973,0.390275
50,5,0,0.268096,0.978493,0.276121,0.177629,0.634117,0.299345,0.080691,0.374158
50,6,0,0.150631,0.889366,0.193145,0.117117,0.494401,0.214079,0.093382,0.308597
50,7,0,0.568517,0.431510,0.328957,0.350729,0.882927,0.416404,0.084806,0.384296
50,8,0,0.168080,0.708548,0.230064,0.149946,0.445824,0.254815,0.078978,0.287448
50,9,0,0.311360,0.949324,0.201280,0.139104,0.499631,0.238944,0.082317,0.323778
50,10,1,0.490499,0.330722,0.212527,0.173501,0.788541,0.264960,0.070773,0.284614
50,11,1,0.199080,0.747691,0.155964,0.078928,0.356443,0.141273,0.079305,0.240795
50,12,1,0.612538,0.452362,0.398672,0.434180,0.897604,0.479220,0.067478,0.417639
50,13,1,0.080769,0.451742,0.150275,0.068337,0.290557,0.120344,0.082567,0.182262
50,14,1,0.448982,0.649095,0.281518,0.260573,0.831160,0.350432,0.074119,0.375186
50,15,1,0.251850,0.607621,0.195772,0.102258,0.485683,0.202482,0.071659,0.256630
50,16,1,0.071009,0.250822,0.100011,0.050009,0.000046,0.000050,0.077447,0.078512
50,17,1,0.225512,0.888624,0.212729,0.144914,0.698352,0.247768,0.076298,0.347583
50,18,1,0.023145,0.413460,0.103354,0.053202,0.021357,0.013676,0.079356,0.109285
50,19,1,0.378901,0.963053,0.262271,0.213547,0.761277,0.322730,0.076849,0.397351
50,20,2,0.154859,0.438756,0.225812,0.075439,0.572098,0.197877,0.112386,0.254721
50,21,2,0.496025,0.631503,0.309913,0.305742,0.736543,0.393356,0.105039,0.383385
50,22,2,0.753268,0.902978,0.379495,0.445917,0.956798,0.480234,0.056707,0.489608
